sentence_index,word_index,word,lex
0,0,القصة,قِصَّة
0,1,اسمها,اِسِم
0,2,(,(
0,3,مجنون,مَجنُون
0,4,سارة,سارَة
0,5,),)
1,0,قصة,قِصَّة
1,1,حب,حِبّ
1,2,بمنتهى,مُنتَهَى
1,3,الروعة,رَوعَة
1,4,وطبعا,طَبع
1,5,قصة,قِصَّة
1,6,خيالية,خَيالِيّ
1,7,وقصة,قِصَّة
1,8,حب,حِبّ
1,9,جميلة,جَمِيل
1,10,جدا,جِدّ
1,11,انصح,نَصَح
1,12,الكل,كِلّ
1,13,يقراها,قَرا
1,14,.,.
1,15,.,.
2,0,للكاتبة,كاتِب
2,1,(,(
2,2,فاتنة,فاتِن
2,3,دبي,دُبَي
2,4,),)
3,0,الجزء,جُزء
3,1,الاول,اَوَّل
3,2,:,:
4,0,كانت,كان
4,1,سارة,سارَة
4,2,دلوعة,دَلُّوعَة
4,3,اهلا,اَهل
4,4,والكل,كِلّ
4,5,يحبها,حَبّ
4,6,وكانت,كان
4,7,تتمتع,تِمَتَّع
4,8,باجمل,اَجمَل
4,9,الصفات,صِفَة
4,10,من,مِن
4,11,جمال,جَمال
4,12,واخلاق,خُلُق
4,13,طيبة,طَيِّب
4,14,وذكاء,ذَكاء
4,15,واما,اَمّا
4,16,جمالها,جَمال
4,17,فخلوا,خَلَّى
4,18,على,عَلَى
4,19,صوب,صَوب
4,20,لأنها,اَنّ
4,21,صدق,صِدق
4,22,كانت,كان
4,23,قمر,قَمَر
4,24,.,.
4,25,.,.
4,26,كل,كِلّ
4,27,اللي,اِللِي
4,28,يشوفها,شاف
4,29,يتخبل,تِخَبَّل
4,30,على,عَلَى
4,31,جمالها,جَمال
4,32,.,.
4,33,.,.
4,34,وهي,هِيَ
4,35,عمرها,عُمر
4,36,19,ضIگIط
4,37,سنة,سَنَة
4,38,يعني,عَنَى
4,39,في,فِي
4,40,اول,اَوَّل
4,41,سنة,سَنَة
4,42,جامعة,جامعَة
4,43,وعندها,عِند
4,44,صديقة,صَدِيق
4,45,روح,رَوح
4,46,بالروح,رَوح
4,47,وياها,وَيّا
4,48,وهي,هِيَ
4,49,ريم,رِيم
4,50,لأن,اَنّ
4,51,سارة,سارَة
4,52,كانت,كان
4,53,وحيدة,وَحَيدَة
4,54,فعشان,عَشان
4,55,كذى,كِذَى
4,56,تعتبر,اِعتَبَر
4,57,ريم,رِيم
4,58,اختها,اُخت
4,59,وصديقتها,صَدِيق
4,60,وكل,كِلّ
4,61,شي,شَي
4,62,.,.
4,63,.,.
5,0,والقصة,قِصَّة
5,1,تبتدي,اِبتَدا
5,2,:,:
5,3,:,:
6,0,ام,اُمّ
6,1,سارة,سارَة
6,2,:,:
6,3,حبيبتي,حَبِيب
6,4,سارونة,سارُونَة
6,5,وينج,وَين
6,6,سارة,سارَة
7,0,سارة,سارَة
7,1,:,:
7,2,هلا,هَلا
7,3,امي,اُمّ
7,4,انا,اَنا
7,5,بغرفتي,غُرفَة
8,0,طلعت,طَلَع
8,1,سارة,سارَة
8,2,من,مِن
8,3,غرفتها,غُرفَة
8,4,عشان,عَشان
8,5,تشوف,شاف
8,6,امها,اُمّ
8,7,شو,شُو
8,8,تريدها,اَراد
9,0,ام,اُمّ
9,1,سارة,سارَة
9,2,:,:
9,3,وينج,وَين
9,4,سارة,سارَة
9,5,من,مِن
9,6,متى,مَتَى
9,7,اناديج,نادَى
9,8,حبيبتي,حَبِيب
10,0,سارة,سارَة
10,1,:,:
10,2,امي,اُمّ
10,3,كنت,كان
10,4,اكلم,كَلَّم
10,5,ريم,رِيم
10,6,ربيعتي,رِبِيع
10,7,.,.
11,0,ام,اُمّ
11,1,سارة,سارَة
11,2,:,:
11,3,وتضحك,ضَحَك
11,4,والله,اللّٰه
11,5,اني,اِنّ
11,6,اغار,اَغار
11,7,من,مِن
11,8,هالريم,ريم
11,9,.,.
11,10,كل,كِلّ
11,11,وقتج,وَقِت
